Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20176031,Tas,12,2017,Saturday,22:00,Single,No,No,No,80,Motorcycle rider,Male,36,No,No,26_to_39,Weekend,Night
20122261,Vic,10,2012,Sunday,0:30,Single,No,No,No,60,Driver,Male,44,No,No,40_to_64,Weekend,Night
20054074,SA,3,2005,Wednesday,15:25,Multiple,No,No,No,80,Driver,Male,72,No,No,65_to_74,Weekday,Day
20165123,WA,8,2016,Tuesday,11:45,Single,No,No,No,110,Driver,Female,81,No,No,75_or_older,Weekday,Day
20064028,SA,9,2006,Friday,15:00,Single,No,No,No,100,Driver,Male,30,No,No,26_to_39,Weekday,Day
20178001,ACT,3,2017,Friday,6:25,Multiple,No,No,No,100,Pedal cyclist,Male,35,No,No,26_to_39,Weekday,Day
20021445,NSW,10,2002,Monday,10:49,Single,No,No,No,80,Driver,Male,73,No,No,65_to_74,Weekday,Day
20061273,NSW,3,2006,Friday,7:50,Multiple,No,Yes,No,100,Pedestrian,Male,51,No,No,40_to_64,Weekday,Day
20031329,NSW,12,2003,Monday,13:40,Multiple,No,No,No,90,Driver,Male,53,No,No,40_to_64,Weekday,Day
20177020,NT,11,2017,Sunday,14:00,Single,No,No,No,80,Motorcycle rider,Male,59,No,No,40_to_64,Weekend,Day
20171306,NSW,11,2017,Tuesday,22:14,Single,No,No,No,50,Motorcycle rider,Male,49,No,No,40_to_64,Weekday,Night
20191053,NSW,12,2019,Monday,15:15,Multiple,No,No,No,70,Motorcycle rider,Male,74,Yes,No,65_to_74,Weekday,Day
20172119,Vic,3,2017,Friday,6:30,Multiple,No,No,Yes,100,Driver,Male,49,No,No,40_to_64,Weekday,Day
20195110,WA,11,2019,Thursday,12:30,Single,No,No,No,50,Driver,Male,88,No,No,75_or_older,Weekday,Day
20061044,NSW,6,2006,Tuesday,17:10,Single,No,No,No,60,Pedestrian,Male,24,No,No,17_to_25,Weekday,Day
20123102,Qld,7,2012,Wednesday,19:00,Multiple,No,No,Yes,100,Passenger,Male,39,No,No,26_to_39,Weekday,Night
20123190,Qld,8,2012,Friday,8:00,Multiple,No,Yes,No,100,Passenger,Female,3,No,No,0_to_16,Weekday,Day
20033032,Qld,2,2003,Wednesday,19:00,Single,No,No,No,60,Pedestrian,Male,55,No,No,40_to_64,Weekday,Night
20031272,NSW,11,2003,Sunday,22:05,Single,No,No,No,100,Driver,Male,24,No,No,17_to_25,Weekend,Night
20127011,NT,6,2012,Wednesday,15:30,Multiple,No,No,No,80,Motorcycle rider,Male,25,No,No,17_to_25,Weekday,Day
20041156,NSW,8,2004,Saturday,6:30,Multiple,No,No,Yes,110,Driver,Male,22,No,No,17_to_25,Weekend,Day
20053293,Qld,8,2005,Wednesday,9:00,Single,No,No,No,100,Passenger,Male,48,No,No,40_to_64,Weekday,Day
20201178,NSW,6,2020,Thursday,3:30,Multiple,No,No,Yes,80,Driver,Male,36,No,No,26_to_39,Weekday,Night
20064012,SA,2,2006,Saturday,15:55,Multiple,No,No,No,80,Motorcycle rider,Male,22,No,No,17_to_25,Weekend,Day
20045139,WA,4,2004,Tuesday,16:30,Single,No,No,No,110,Driver,Female,39,No,No,26_to_39,Weekday,Day
20091390,NSW,9,2009,Tuesday,13:50,Multiple,No,No,No,100,Driver,Female,20,No,No,17_to_25,Weekday,Day
20042106,Vic,9,2004,Friday,6:45,Multiple,No,No,No,70,Driver,Male,21,No,No,17_to_25,Weekday,Day
20086008,Tas,3,2008,Friday,0:53,Single,No,No,No,100,Driver,Male,25,No,No,17_to_25,Weekday,Night
20023255,Qld,9,2002,Saturday,12:00,Multiple,No,No,No,80,Passenger,Male,17,No,No,17_to_25,Weekend,Day
20091118,NSW,6,2009,Tuesday,19:15,Multiple,No,No,No,60,Passenger,Female,50,No,No,40_to_64,Weekday,Night
20023071,Qld,11,2002,Wednesday,21:00,Multiple,No,No,Yes,90,Pedestrian,Male,65,No,No,65_to_74,Weekday,Night
20041140,NSW,10,2004,Sunday,12:30,Multiple,No,No,No,100,Motorcycle rider,Female,33,No,No,26_to_39,Weekend,Day
20022244,Vic,6,2002,Tuesday,17:30,Multiple,No,No,No,100,Motorcycle rider,Female,24,No,No,17_to_25,Weekday,Day
20112099,Vic,9,2011,Tuesday,10:40,Single,No,No,Yes,100,Driver,Male,50,No,No,40_to_64,Weekday,Day
20091402,NSW,5,2009,Friday,23:50,Single,No,No,No,100,Driver,Male,24,No,No,17_to_25,Weekend,Night
19992266,Vic,10,1999,Saturday,12:00,Single,No,No,No,70,Pedestrian,Male,87,No,No,75_or_older,Weekend,Day
20012344,Vic,6,2001,Tuesday,18:15,Multiple,No,No,No,100,Driver,Female,19,No,No,17_to_25,Weekday,Night
20174011,SA,3,2017,Saturday,3:00,Single,No,No,No,110,Driver,Male,18,No,No,17_to_25,Weekend,Night
20205039,WA,9,2020,Monday,9:18,Single,No,No,No,110,Motorcycle rider,Male,58,No,No,40_to_64,Weekday,Day
19892202,Vic,4,1989,Wednesday,16:30,Multiple,No,No,No,100,Passenger,Male,6,No,No,0_to_16,Weekday,Day
19992252,Vic,5,1999,Tuesday,16:10,Single,No,No,No,60,Pedestrian,Male,85,No,No,75_or_older,Weekday,Day
20151189,NSW,7,2015,Wednesday,15:00,Single,No,No,No,100,Driver,Male,93,No,No,75_or_older,Weekday,Day
20202021,Vic,1,2020,Thursday,16:20,Single,No,Yes,No,50,Driver,Male,26,No,No,26_to_39,Weekday,Day
20091374,NSW,9,2009,Friday,7:45,Multiple,Yes,No,No,80,Passenger,Female,46,No,No,40_to_64,Weekday,Day
20122201,Vic,10,2012,Friday,11:30,Multiple,No,Yes,No,60,Driver,Male,37,No,No,26_to_39,Weekday,Day
20214003,SA,6,2021,Saturday,1:05,Multiple,No,No,No,110,Driver,Male,50,No,No,40_to_64,Weekend,Night
20022075,Vic,2,2002,Saturday,20:00,Single,No,No,No,100,Driver,Female,84,No,No,75_or_older,Weekend,Night
20061246,NSW,4,2006,Wednesday,13:05,Multiple,No,No,No,60,Pedestrian,Male,50,No,No,40_to_64,Weekday,Day
20092017,Vic,12,2009,Sunday,15:30,Multiple,No,No,No,100,Motorcycle rider,Male,34,No,No,26_to_39,Weekend,Day
20203111,Qld,5,2020,Thursday,2:00,Single,No,No,Yes,100,Driver,Male,58,No,No,40_to_64,Weekday,Night
20141183,NSW,7,2014,Saturday,6:30,Multiple,No,No,No,100,Passenger,Female,55,No,No,40_to_64,Weekend,Day
20111277,NSW,3,2011,Saturday,13:45,Single,No,No,No,110,Passenger,Male,20,No,No,17_to_25,Weekend,Day
20181309,NSW,12,2018,Friday,0:30,Single,No,No,No,10,Driver,Male,24,No,No,17_to_25,Weekday,Night
19982204,Vic,9,1998,Wednesday,20:15,Single,No,No,No,80,Pedestrian,Male,18,No,No,17_to_25,Weekday,Night
20133155,Qld,2,2013,Monday,0:00,Single,No,No,No,100,Driver,Male,24,No,No,17_to_25,Weekend,Night
20074039,SA,2,2007,Tuesday,12:20,Multiple,No,No,No,110,Driver,Male,87,No,No,75_or_older,Weekday,Day
20124013,SA,11,2012,Saturday,2:40,Multiple,No,No,Yes,110,Driver,Male,53,No,No,40_to_64,Weekend,Night
20113041,Qld,10,2011,Saturday,16:00,Multiple,No,No,No,60,Driver,Male,78,No,No,75_or_older,Weekend,Day
20075196,WA,11,2007,Friday,3:00,Single,No,No,No,40,Pedestrian,Male,66,No,No,65_to_74,Weekday,Night
19972152,Vic,5,1997,Thursday,16:00,Single,No,No,No,60,Pedestrian,Male,31,No,No,26_to_39,Weekday,Day
20162141,Vic,5,2016,Tuesday,20:15,Multiple,No,No,No,50,Driver,Male,19,No,No,17_to_25,Weekday,Night
20215104,WA,8,2021,Monday,4:00,Single,No,No,No,100,Driver,Male,27,No,No,26_to_39,Weekend,Night
20171136,NSW,1,2017,Tuesday,14:15,Multiple,No,Yes,Yes,100,Driver,Male,52,Yes,No,40_to_64,Weekday,Day
19962105,Vic,8,1996,Saturday,11:30,Single,No,No,No,60,Motorcycle rider,Male,25,No,No,17_to_25,Weekend,Day
20051385,NSW,9,2005,Thursday,18:00,Single,No,No,No,50,Pedestrian,Female,80,No,No,75_or_older,Weekday,Night
19902339,Vic,2,1990,Friday,6:10,Multiple,No,No,Yes,100,Passenger,Male,22,No,No,17_to_25,Weekday,Day
20012266,Vic,1,2001,Tuesday,1:15,Single,No,No,No,100,Driver,Male,25,No,No,17_to_25,Weekday,Night
20101204,NSW,3,2010,Tuesday,10:00,Multiple,No,No,No,100,Motorcycle rider,Male,57,No,No,40_to_64,Weekday,Day
20103123,Qld,4,2010,Monday,14:00,Multiple,No,Yes,Yes,100,Passenger,Male,8,No,No,0_to_16,Weekday,Day
20151292,NSW,12,2015,Saturday,2:25,Single,No,No,No,60,Passenger,Male,20,No,No,17_to_25,Weekend,Night
20042262,Vic,8,2004,Sunday,0:10,Single,No,No,No,100,Driver,Male,26,No,No,26_to_39,Weekend,Night
20106001,Tas,3,2010,Saturday,11:10,Multiple,Yes,No,No,100,Pedal cyclist,Male,21,No,No,17_to_25,Weekend,Day
20153016,Qld,2,2015,Friday,23:00,Single,No,No,No,80,Passenger,Male,21,No,No,17_to_25,Weekend,Night
20063133,Qld,5,2006,Saturday,17:00,Multiple,No,No,No,100,Driver,Male,47,No,No,40_to_64,Weekend,Day
20215030,WA,1,2021,Saturday,1:10,Multiple,No,No,No,50,Pedestrian,Male,20,No,No,17_to_25,Weekend,Night
20071038,NSW,9,2007,Saturday,23:00,Single,No,No,No,80,Driver,Male,31,No,No,26_to_39,Weekend,Night
19902095,Vic,12,1990,Sunday,17:15,Multiple,No,No,No,100,Motorcycle rider,Male,21,No,No,17_to_25,Weekend,Day
20193009,Qld,1,2019,Thursday,2:00,Single,No,No,No,60,Motorcycle rider,Male,33,No,No,26_to_39,Weekday,Night
20202100,Vic,3,2020,Sunday,15:36,Single,No,No,No,100,Driver,Female,79,No,No,75_or_older,Weekend,Day
20043135,Qld,6,2004,Saturday,18:00,Single,No,No,No,100,Passenger,Female,20,No,No,17_to_25,Weekend,Night
19962305,Vic,3,1996,Friday,14:20,Single,No,No,No,60,Passenger,Male,18,No,No,17_to_25,Weekday,Day
20102204,Vic,3,2010,Sunday,15:40,Multiple,No,No,No,60,Motorcycle rider,Male,54,No,No,40_to_64,Weekend,Day
20164018,SA,2,2016,Thursday,7:23,Multiple,Yes,No,No,60,Motorcycle rider,Female,30,No,No,26_to_39,Weekday,Day
20073195,Qld,2,2007,Friday,22:00,Single,No,No,No,50,Motorcycle rider,Male,38,No,No,26_to_39,Weekend,Night
20012403,Vic,4,2001,Saturday,1:10,Single,No,No,No,80,Motorcycle rider,Male,18,No,No,17_to_25,Weekend,Night
20091318,NSW,8,2009,Sunday,10:30,Single,No,No,No,100,Passenger,Male,52,No,No,40_to_64,Weekend,Day
19892358,Vic,7,1989,Saturday,21:00,Multiple,No,No,No,100,Driver,Male,32,No,No,26_to_39,Weekend,Night
20165156,WA,11,2016,Sunday,12:50,Single,No,No,No,110,Driver,Female,37,No,No,26_to_39,Weekend,Day
20143013,Qld,8,2014,Tuesday,6:00,Single,No,No,No,100,Passenger,Male,20,No,No,17_to_25,Weekday,Day
20116003,Tas,3,2011,Tuesday,21:05,Multiple,No,No,No,50,Pedestrian,Male,89,No,No,75_or_older,Weekday,Night
20052101,Vic,11,2005,Sunday,14:20,Multiple,No,No,No,90,Driver,Male,49,No,No,40_to_64,Weekend,Day
20032122,Vic,3,2003,Monday,20:49,Single,No,No,No,70,Passenger,Male,20,No,No,17_to_25,Weekday,Night
20002204,Vic,3,2000,Sunday,14:25,Single,No,No,No,100,Driver,Male,90,No,No,75_or_older,Weekend,Day
20062088,Vic,10,2006,Friday,9:35,Single,No,No,No,80,Pedestrian,Female,53,No,No,40_to_64,Weekday,Day
20161159,NSW,1,2016,Friday,14:30,Multiple,No,No,No,100,Motorcycle rider,Female,61,No,No,40_to_64,Weekday,Day
19952024,Vic,12,1995,Friday,5:05,Single,No,No,No,80,Driver,Male,27,No,No,26_to_39,Weekday,Night
20061276,NSW,2,2006,Thursday,20:53,Single,No,No,No,60,Driver,Male,42,No,No,40_to_64,Weekday,Night
20052258,Vic,5,2005,Sunday,18:07,Single,No,No,No,90,Motorcycle rider,Male,33,No,No,26_to_39,Weekend,Night
19932341,Vic,10,1993,Sunday,2:00,Single,No,No,No,70,Passenger,Male,17,No,No,17_to_25,Weekend,Night
19902457,Vic,9,1990,Thursday,16:05,Multiple,No,No,No,100,Driver,Male,28,No,No,26_to_39,Weekday,Day
