Crash ID,Crash Type,Penalty Price,State_id,Hour_id,Victim_id,Speed_id,Holiday_id
14266,Multiple,70,136,25072,25072,25072,25072
15276,Multiple,40,110,13276,13276,13276,13276
28003,Single,190,17,31617,31617,31617,31617
3718,Single,300,44,31004,31004,31004,31004
19120,Single,400,63,7576,7576,7576,7576
10402,Multiple,170,39,23911,23911,23911,23911
11243,Single,280,193,6596,6596,6596,6596
7720,Single,130,82,9457,9457,9457,9457
21116,Single,40,121,23987,23987,23987,23987
5196,Single,120,31,21518,21518,21518,21518
4975,Single,170,197,12904,12904,12904,12904
12094,Single,90,173,6827,6827,6827,6827
30216,Single,220,80,30328,30328,30328,30328
8396,Multiple,90,53,2502,2502,2502,2502
23391,Single,230,165,17026,17026,17026,17026
28624,Single,60,92,9109,9109,9109,9109
8111,Multiple,170,16,23241,23241,23241,23241
27707,Single,170,185,25302,25302,25302,25302
8768,Single,360,247,30056,30056,30056,30056
28798,Multiple,190,35,27539,27539,27539,27539
28390,Multiple,190,223,16459,16459,16459,16459
3343,Single,250,26,21550,21550,21550,21550
10193,Multiple,390,43,12088,12088,12088,12088
14063,Single,330,215,17785,17785,17785,17785
12703,Single,120,214,29119,29119,29119,29119
10803,Single,310,178,2344,2344,2344,2344
23672,Multiple,210,238,4212,4212,4212,4212
16978,Multiple,390,146,78,78,78,78
25375,Single,270,64,8722,8722,8722,8722
16904,Single,400,179,12370,12370,12370,12370
2326,Multiple,90,7,23991,23991,23991,23991
2129,Single,170,244,31740,31740,31740,31740
20667,Single,330,47,23461,23461,23461,23461
30215,Single,270,124,10131,10131,10131,10131
257,Multiple,100,34,5488,5488,5488,5488
8970,Multiple,60,135,17314,17314,17314,17314
30984,Single,160,187,19464,19464,19464,19464
14062,Single,350,197,6486,6486,6486,6486
22783,Multiple,390,227,24711,24711,24711,24711
3631,Single,170,208,3377,3377,3377,3377
6673,Single,400,168,10889,10889,10889,10889
21817,Single,70,47,13707,13707,13707,13707
12577,Single,360,162,31652,31652,31652,31652
25137,Single,60,166,1701,1701,1701,1701
13096,Single,70,236,23393,23393,23393,23393
10647,Multiple,60,106,8656,8656,8656,8656
13163,Single,280,107,26542,26542,26542,26542
3971,Single,190,243,13380,13380,13380,13380
30971,Multiple,120,72,26181,26181,26181,26181
13441,Multiple,260,231,3556,3556,3556,3556
12049,Single,40,155,25555,25555,25555,25555
4638,Single,120,209,10103,10103,10103,10103
13741,Single,140,211,9504,9504,9504,9504
757,Single,140,163,31121,31121,31121,31121
31060,Single,210,219,28474,28474,28474,28474
24704,Single,370,125,13504,13504,13504,13504
14472,Single,260,210,6602,6602,6602,6602
21942,Single,90,161,18951,18951,18951,18951
26535,Multiple,400,105,15800,15800,15800,15800
21518,Multiple,40,8,10630,10630,10630,10630
17011,Single,120,112,606,606,606,606
27318,Multiple,360,210,12409,12409,12409,12409
29811,Single,50,22,14099,14099,14099,14099
9515,Multiple,400,108,17253,17253,17253,17253
19187,Multiple,30,217,13904,13904,13904,13904
17420,Single,260,194,17042,17042,17042,17042
5768,Single,70,74,27835,27835,27835,27835
15136,Single,220,31,16600,16600,16600,16600
2536,Single,360,210,16836,16836,16836,16836
4376,Multiple,70,227,29712,29712,29712,29712
18168,Single,330,190,14584,14584,14584,14584
28655,Single,190,143,26988,26988,26988,26988
17058,Single,160,46,15144,15144,15144,15144
14,Multiple,210,215,19098,19098,19098,19098
31092,Single,40,43,9344,9344,9344,9344
6183,Multiple,60,201,26773,26773,26773,26773
12396,Multiple,260,59,9009,9009,9009,9009
12615,Multiple,400,80,21411,21411,21411,21411
19357,Single,90,103,11954,11954,11954,11954
9147,Single,300,116,3233,3233,3233,3233
4742,Multiple,210,85,17513,17513,17513,17513
19981,Multiple,290,2,30402,30402,30402,30402
17311,Single,360,181,13105,13105,13105,13105
30938,Single,390,124,31201,31201,31201,31201
7834,Multiple,220,124,2507,2507,2507,2507
5913,Multiple,80,117,12494,12494,12494,12494
17547,Multiple,250,93,21487,21487,21487,21487
22303,Multiple,60,241,273,273,273,273
27690,Single,220,160,14016,14016,14016,14016
30530,Multiple,170,107,15970,15970,15970,15970
4639,Multiple,60,88,9514,9514,9514,9514
7871,Multiple,250,5,30703,30703,30703,30703
22611,Single,310,118,1636,1636,1636,1636
17358,Single,230,157,218,218,218,218
15939,Single,100,18,28736,28736,28736,28736
7662,Single,380,30,26349,26349,26349,26349
28491,Single,300,142,17095,17095,17095,17095
2531,Single,160,12,372,372,372,372
20117,Single,200,17,31065,31065,31065,31065
13299,Multiple,270,165,19738,19738,19738,19738
2425,Single,320,36,15430,15430,15430,15430
25031,Single,330,3,7373,7373,7373,7373
6339,Multiple,290,22,20435,20435,20435,20435
1771,Multiple,180,25,13206,13206,13206,13206
30888,Multiple,80,118,27413,27413,27413,27413
15140,Single,250,103,29333,29333,29333,29333
5235,Single,170,100,7866,7866,7866,7866
7163,Multiple,320,56,19063,19063,19063,19063
15666,Single,250,215,15146,15146,15146,15146
30518,Single,240,200,10036,10036,10036,10036
28129,Multiple,350,86,728,728,728,728
7633,Multiple,170,242,25310,25310,25310,25310
26423,Multiple,150,210,12621,12621,12621,12621
9246,Single,70,128,23366,23366,23366,23366
6159,Multiple,310,29,5689,5689,5689,5689
16739,Multiple,160,117,30576,30576,30576,30576
20985,Multiple,370,6,18305,18305,18305,18305
1831,Single,260,37,26187,26187,26187,26187
23293,Single,270,53,15152,15152,15152,15152
5178,Multiple,100,240,1495,1495,1495,1495
14756,Multiple,110,213,30059,30059,30059,30059
8333,Single,200,125,19229,19229,19229,19229
769,Single,380,45,17324,17324,17324,17324
29061,Single,200,9,13423,13423,13423,13423
20203,Single,360,19,25515,25515,25515,25515
30093,Single,140,134,22600,22600,22600,22600
10556,Multiple,270,19,23632,23632,23632,23632
22536,Single,380,78,27551,27551,27551,27551
21348,Single,270,120,27873,27873,27873,27873
31190,Single,300,37,6815,6815,6815,6815
26210,Single,360,24,17821,17821,17821,17821
10544,Single,70,239,4382,4382,4382,4382
13775,Single,100,204,15061,15061,15061,15061
6292,Single,360,243,23929,23929,23929,23929
27989,Multiple,160,32,13609,13609,13609,13609
5288,Single,110,91,14795,14795,14795,14795
27525,Single,400,42,6369,6369,6369,6369
22019,Single,320,182,21433,21433,21433,21433
30323,Single,220,216,17159,17159,17159,17159
11886,Multiple,50,115,24641,24641,24641,24641
14658,Single,360,74,11013,11013,11013,11013
13469,Multiple,110,171,5718,5718,5718,5718
3230,Multiple,60,218,14655,14655,14655,14655
24435,Multiple,230,59,3026,3026,3026,3026
24108,Single,330,179,13082,13082,13082,13082
18476,Multiple,140,106,14060,14060,14060,14060
3392,Single,310,8,13162,13162,13162,13162
18663,Multiple,390,130,11679,11679,11679,11679
5715,Multiple,90,33,20409,20409,20409,20409
13008,Multiple,220,96,21525,21525,21525,21525
10634,Single,290,111,14366,14366,14366,14366
10302,Single,360,171,20664,20664,20664,20664
20994,Multiple,180,174,7985,7985,7985,7985
27312,Single,200,15,659,659,659,659
10974,Single,50,27,9051,9051,9051,9051
30751,Single,70,131,4323,4323,4323,4323
26052,Single,230,192,16478,16478,16478,16478
585,Multiple,190,96,27433,27433,27433,27433
30873,Single,40,238,24960,24960,24960,24960
4895,Multiple,90,78,18667,18667,18667,18667
15694,Single,160,63,16069,16069,16069,16069
